出表日期,報告年度,公司代號,公司名稱,公司年度召開法說會次數(次)
1111005,110,8213,志超,1
1111005,110,8215,明基材,4
1111005,110,8222,寶一,1
1111005,110,8249,菱光,1
1111005,110,8261,富鼎,1
1111005,110,8271,宇瞻,2
1111005,110,8341,日友,1
1111005,110,8367,建新國際,1
1111005,110,8374,羅昇,1
1111005,110,8404,百和興業-KY,1
1111005,110,8411,福貞-KY,3
1111005,110,8422,可寧衛,4
1111005,110,8429,金麗-KY,1
1111005,110,8438,昶昕,0
1111005,110,8442,威宏-KY,1
1111005,110,8443,阿瘦,1
1111005,110,8454,富邦媒,102
1111005,110,8462,柏文,2
1111005,110,8463,潤泰材,1
1111005,110,8464,億豐,10
1111005,110,8466,美吉吉-KY,3
1111005,110,8467,波力-KY,1
1111005,110,8473,山林水,1
1111005,110,8478,東哥遊艇,1
1111005,110,8480,泰昇-KY,1
1111005,110,8481,政伸,2
1111005,110,8482,商億-KY,4
1111005,110,8488,吉源-KY,1
1111005,110,8499,鼎炫-KY,1
1111005,110,8926,台汽電,4
1111005,110,8940,新天地,1
1111005,110,8996,高力,1
1111005,110,9802,鈺齊-KY,7
1111005,110,9902,台火,1
1111005,110,9904,寶成,4
1111005,110,9905,大華,1
1111005,110,9906,欣巴巴,3
1111005,110,9907,統一實,2
1111005,110,9908,大台北,1
1111005,110,9910,豐泰,5
1111005,110,9911,櫻花,2
1111005,110,9912,偉聯,1
1111005,110,9914,美利達,3
1111005,110,9917,中保科,4
1111005,110,9918,欣天然,2
1111005,110,9919,康那香,2
1111005,110,9921,巨大,21
1111005,110,9924,福興,2
1111005,110,9925,新保,1
1111005,110,9926,新海,1
1111005,110,9927,泰銘,1
1111005,110,9928,中視,1
1111005,110,9929,秋雨,1
1111005,110,9930,中聯資源,1
1111005,110,9931,欣高,1
1111005,110,9933,中鼎,4
1111005,110,9934,成霖,2
1111005,110,9935,慶豐富,1
1111005,110,9937,全國,1
1111005,110,9938,百和,4
1111005,110,9939,宏全,4
1111005,110,9940,信義,4
1111005,110,9941,裕融,4
1111005,110,9942,茂順,2
1111005,110,9943,好樂迪,1
1111005,110,9944,新麗,1
1111005,110,9945,潤泰新,1
1111005,110,9946,三發地產,1
1111005,110,9955,佳龍,1
1111005,110,9958,世紀鋼,2
