出表日期,報告年度,公司代號,公司名稱,公司年度召開法說會次數(次)
1111005,110,1762,中化生,2
1111005,110,1773,勝一,1
1111005,110,1776,展宇,1
1111005,110,1783,和康生,2
1111005,110,1786,科妍,1
1111005,110,1789,神隆,5
1111005,110,1795,美時,8
1111005,110,1802,台玻,1
1111005,110,1805,寶徠,1
1111005,110,1806,冠軍,2
1111005,110,1808,潤隆,1
1111005,110,1809,中釉,1
1111005,110,1810,和成,1
1111005,110,1817,凱撒衛,2
1111005,110,1903,士紙,1
1111005,110,1904,正隆,2
1111005,110,1905,華紙,4
1111005,110,1906,寶隆,1
1111005,110,1907,永豐餘,4
1111005,110,1909,榮成,2
1111005,110,2002,中鋼,5
1111005,110,2006,東和鋼鐵,2
1111005,110,2007,燁興,1
1111005,110,2008,高興昌,1
1111005,110,2009,第一銅,1
1111005,110,2010,春源,1
1111005,110,2012,春雨,1
1111005,110,2013,中鋼構,2
1111005,110,2014,中鴻,4
1111005,110,2015,豐興,4
1111005,110,2017,官田鋼,2
1111005,110,2020,美亞,2
1111005,110,2022,聚亨,1
1111005,110,2023,燁輝,3
1111005,110,2024,志聯,1
1111005,110,2025,千興,1
1111005,110,2027,大成鋼,1
1111005,110,2028,威致,1
1111005,110,2029,盛餘,2
1111005,110,2030,彰源,1
1111005,110,2031,新光鋼,1
1111005,110,2032,新鋼,1
1111005,110,2033,佳大,1
1111005,110,2034,允強,1
1111005,110,2038,海光,1
1111005,110,2049,上銀,3
1111005,110,2059,川湖,6
1111005,110,2062,橋椿,1
1111005,110,2069,運錩,1
1111005,110,2101,南港,1
1111005,110,2102,泰豐,1
1111005,110,2103,台橡,2
1111005,110,2104,國際中橡,2
1111005,110,2105,正新,2
1111005,110,2106,建大,1
1111005,110,2107,厚生,1
1111005,110,2108,南帝,1
1111005,110,2109,華豐,0
1111005,110,2114,鑫永銓,1
1111005,110,2115,六暉-KY,1
1111005,110,2201,裕隆,4
1111005,110,2204,中華,4
1111005,110,2206,三陽工業,2
1111005,110,2207,和泰車,4
1111005,110,2208,台船,1
1111005,110,2211,長榮鋼,1
1111005,110,2227,裕日車,2
1111005,110,2228,劍麟,2
1111005,110,2231,為升,3
1111005,110,2233,宇隆,2
1111005,110,2236,百達-KY,1
1111005,110,2239,英利-KY,1
1111005,110,2241,艾姆勒,4
1111005,110,2243,宏旭-KY,1
1111005,110,2247,汎德永業,1
1111005,110,2250,IKKA-KY,1
1111005,110,2301,光寶科,4
1111005,110,2302,麗正,1
1111005,110,2303,聯電,4
1111005,110,2305,全友,1
1111005,110,2308,台達電,43
1111005,110,2312,金寶,1
1111005,110,2313,華通,4
1111005,110,2314,台揚,1
1111005,110,2316,楠梓電,1
1111005,110,2317,鴻海,4
1111005,110,2321,東訊,1
1111005,110,2323,中環,1
1111005,110,2324,仁寶,13
1111005,110,2327,國巨,34
1111005,110,2328,廣宇,1
1111005,110,2329,華泰,1
1111005,110,2330,台積電,4
1111005,110,2331,精英,1
1111005,110,2332,友訊,2
1111005,110,2337,旺宏,4
1111005,110,2338,光罩,1
1111005,110,2340,台亞,3
1111005,110,2342,茂矽,1
1111005,110,2344,華邦電,2
1111005,110,2345,智邦,1
1111005,110,2347,聯強,5
1111005,110,2348,海悅,1
1111005,110,2349,錸德,1
1111005,110,2351,順德,6
1111005,110,2352,佳世達,4
1111005,110,2353,宏碁,12
1111005,110,2354,鴻準,1
1111005,110,2355,敬鵬,1
1111005,110,2356,英業達,19
1111005,110,2357,華碩,4
1111005,110,2358,廷鑫,1
1111005,110,2359,所羅門,1
1111005,110,2360,致茂,15
1111005,110,2362,藍天,4
1111005,110,2363,矽統,1
1111005,110,2364,倫飛,1
1111005,110,2365,昆盈,1
1111005,110,2367,燿華,1
1111005,110,2369,菱生,1
1111005,110,2371,大同,1
1111005,110,2373,震旦行,2
1111005,110,2374,佳能,1
1111005,110,2375,凱美,1
1111005,110,2376,技嘉,2
1111005,110,2377,微星,1
1111005,110,2379,瑞昱,4
1111005,110,2380,虹光,1
1111005,110,2382,廣達,17
1111005,110,2383,台光電,43
1111005,110,2385,群光,16
1111005,110,2387,精元,1
1111005,110,2388,威盛,1
1111005,110,2390,云辰,1
1111005,110,2392,正崴,1
1111005,110,2393,億光,2
1111005,110,2395,研華,99
1111005,110,2397,友通,1
1111005,110,2399,映泰,1
1111005,110,2401,凌陽,2
1111005,110,2402,毅嘉,1
1111005,110,2404,漢唐,1
1111005,110,2405,輔信,1
1111005,110,2406,國碩,1
1111005,110,2408,南亞科,32
1111005,110,2409,友達,4
1111005,110,2412,中華電,4
1111005,110,2413,環科,1
1111005,110,2414,精技,1
1111005,110,2415,錩新,2
1111005,110,2417,圓剛,2
1111005,110,2419,仲琦,1
1111005,110,2420,新巨,2
1111005,110,2421,建準,1
1111005,110,2423,固緯,2
1111005,110,2424,隴華,1
1111005,110,2425,承啟,1
1111005,110,2427,三商電,1
1111005,110,2428,興勤,3
1111005,110,2429,銘旺科,1
1111005,110,2430,燦坤,2
1111005,110,2431,聯昌,1
1111005,110,2433,互盛電,2
1111005,110,2434,統懋,1
1111005,110,2436,偉詮電,2
1111005,110,2438,翔耀,1
1111005,110,2439,美律,7
1111005,110,2440,太空梭,1
1111005,110,2441,超豐,2
1111005,110,2442,新美齊,2
1111005,110,2443,昶虹,1
1111005,110,2444,兆勁,0
1111005,110,2449,京元電子,9
1111005,110,2450,神腦,2
1111005,110,2451,創見,1
1111005,110,2453,凌群,1
1111005,110,2454,聯發科,4
1111005,110,2455,全新,12
1111005,110,2457,飛宏,1
1111005,110,2458,義隆,4
1111005,110,2459,敦吉,1
1111005,110,2460,建通,1
1111005,110,2461,光群雷,1
1111005,110,2462,良得電,1
1111005,110,2464,盟立,1
1111005,110,2465,麗臺,1
1111005,110,2466,冠西電,1
1111005,110,2467,志聖,1
1111005,110,2468,華經,1
1111005,110,2471,資通,2
1111005,110,2472,立隆電,4
1111005,110,2474,可成,39
1111005,110,2476,鉅祥,1
1111005,110,2477,美隆電,1
1111005,110,2478,大毅,1
1111005,110,2480,敦陽科,4
1111005,110,2481,強茂,7
1111005,110,2482,連宇,1
1111005,110,2483,百容,2
1111005,110,2484,希華,1
