出表日期,報告年度,公司代號,公司名稱,用水量(公噸),資料範圍,用水密集度-密集度(公噸/單位),用水密集度-單位,取得驗證,水資源管理或減量目標
1111005,110,2331,精英,329789.0000,用水量涵蓋精英電腦股份有限公司、興英數位科技(深圳)有限公司、精英電腦(蘇州工業園區)有限公司、與精英科技(泰國)股份有限公司。,18.1360,"2021年 精英電腦總部大樓人均年用水量  18.136 公噸/  人.年；TPE 13,802公噸/761人=18.136",N,"精英電腦於廠區成立省水專案小組，規劃省水專案的提報、執行、彙總、稽核、評比制度，要求全員參與，專人負責，廠區由上而下共同進行各項省水措施，以求降低用水量。精英電腦內湖總部智慧建築大樓所建置的雨水回收供景觀灌溉用水系統，2021年回收雨水2,439公噸，減少了0.381公噸CO2e的溫室氣體排放。
精英電腦節水措施：
1.加強節約用水的宣傳，在各用水區域，張貼 “節約用水，隨手關開關” 等節水標語，定期展開 “節約用水” 知識講座，讓廠區員工了解節約用水的目的，使大家自覺的加入公司的節水行列中。
2.員工宿舍分時段供熱水，確保員工熱水的使用，且避免熱水的浪費。
3.定期和不定期點檢用水和貯水設備設施，防止水資源浪費。
4.定期保養用水和貯水設備設施，保證其運行正常。
5.廠務人員定期確認水表，對用水量分析，對異常進行通報及時處理。
6.啟用雨水回收噴灌系統及配合天候澆水。
7.節省洗手台及馬桶用水量，降低每人每日生活用水量，加強宣導二段式沖水。
2021年用水量為329,789公噸，較2020年用水量261,735公噸，用水量增加26.032%，並較基準年2007年減少55.225%的絕對用水量。精英電腦每年的總用水量，相較於前一年的減量目標為1%。2021年因Covid-19 防疫活動影響未達到減量目標。"
1111005,110,2332,友訊,11560.0000,僅母公司大樓,19.0131,員工人數,N,2026年用水量節省2.5%
1111005,110,2337,旺宏,2886898.0000,僅母公司,57.0800,年度總營收(百萬元),N,晶圓廠製程用水回收率維持≧ 84%
1111005,110,2338,光罩,15349.0000,僅母公司,2.3900,產品,N,純水回收使用、製程廢水再利用
1111005,110,2340,台亞,1392952.0000,創新廠及力行廠,276.0000,佰萬元營業額,ISO 14001,透過各項水回收處理系統進行水資源再利用，設定製程用水回收率、全廠用水回收率。
1111005,110,2342,茂矽,583235.0000,僅母公司,52.5600,產品,N,"本公司秉持著ISO 14001的精神，落實相關資源節約及有效再利用，在水資源運用上亦做了相關的管理措施，將可回收之廢水循環使用，降低自來水的需求量。
廠區內設有相關回收系統，充分將製程排水、RO濃縮水、空壓機冷卻水、蒸發器防凍水、洗滌塔排水、冷卻水塔排水及空調冷凝水等，有效回收處理再利用，每日回收水量可達1,500噸，再提供給製程或各系統使用，使水資源有效的循環再利用。
符合科管局規定:1.製程回收率>50%  2.全廠回收率>50% 3.全廠排放率＜80%"
1111005,110,2344,華邦電,3292825.0000,母公司,0.1310,噸/layer(層-晶圓光罩),ISO 14001,全廠用水回收率>80%、產品單位用水量＜0.15噸/layer(層-晶圓光罩)
1111005,110,2345,智邦,51982.0000,僅母公司,1.0540,百萬元營業額,N,"依據廢水管理程序執行相關作業，確保本公司廢(污)水能有效被收集、
處理、排放，以免溢流而造成環境污染。"
1111005,110,2347,聯強,21696.0000,聯強台灣與合併財務報表之子公司通達智能運籌,18.2300,員工人數,N,空調設定室溫超過27度方能啟動，減少冷卻水塔耗水；洗手台貼標語宣導節約用水
1111005,110,2348,海悅,,,,,N,無
1111005,110,2349,錸德,91541.0000,僅母公司,0.0330,營業額,N,節省用水>1%
1111005,110,2351,順德,1382382.0000,母公司,1232440.0000,產品,N,預計今年底建置完成，含鎳水回收設備，300CMD
1111005,110,2352,佳世達,517562.0000,佳世達台灣/蘇州/越南廠區,106.3300,營業額,N,每百萬美金產值用水量降低2%
1111005,110,2353,宏碁,164324.0000,包含合併財務報表之母子公司,0.5200,百萬營業額,N,"1、減量目標：相較2020年，總用水量降低1%。
2、為能順利達成目標，藉由系統化管理蒐集全球用水數據及變化趨勢，每年審視目標達成狀況。
3、鼓勵各辦公區推行水資源回收再使用、改善用水設備、強化用水管理等節水措施。"
1111005,110,2354,鴻準,1903.0000,鴻準集團主要廠區,0.0000,營業額,ISO 50001,基於保護水資源提早規劃各項水資源節約計畫，透過改善製程及節水水回收再利用等措施，積極減少在生產製造過程產生之廢水及對環境的衝擊。
1111005,110,2355,敬鵬,3873.9600,母公司+ 子公司 敬鵬(常熟)電子有限公司,153.1300,營業額,N,省水專案
1111005,110,2356,英業達,1081588.0000,"""英業達股份有限公司Inventec Corporation
(士林廠 Shilin site(IET)、桃園廠 Taoyuan site(TAO)、桃園廠 Taoyuan site(ITO))、
英業達(重慶)有限公司Inventec (Chongqing) Corporation (ICC)、
英業達科技有限公司Inventec (Pudong) Technology Corporation (IPT)、
上海順詮科技有限公司SQ Technology (Shanghai) Corporation (SQT)、
Inventec (Czech) S.R.O. (ICZ)、
IEC Technologies, S . de R. L. de C. V. (IMX)",245273.0000,千億營業額,N,以2012年為基準年，2024年用水密集度減少24%。
1111005,110,2357,華碩,142443.0000,華碩全台辦公室(皇家除外),22.0000,公噸/平均每人/年,N,每年減少前一年用水的0.5%
1111005,110,2358,廷鑫,31111.0000,母公司,,,N,評估規劃中
1111005,110,2359,所羅門,,,,,N,尚無「水資源管理或減量目標」
1111005,110,2360,致茂,83835.8000,僅母公司,0.0048,營業額(仟元),N,RO機廢水回收再利用，雨水回收噴灌使用。
1111005,110,2362,藍天,25777.0000,母公司,,,N,請參閱永續報告書
1111005,110,2363,矽統,23228.0000,水費繳費單,,,N,無
1111005,110,2364,倫飛,6038.0000,母公司,,,N,無
1111005,110,2365,昆盈,,,,,N,製程工藝中無工業廢水產生.
1111005,110,2367,燿華,2070450.0000,僅母公司,0.6100,產量,N,各廠區力行各項減水及水回收專案，如：銅板框回收機水量專案、蝕薄銅線用水減量專案及加強用水上下限值等管控措施，來提升廠區水資源使用效率。
1111005,110,2369,菱生,960851.0000,全公司工業用水量,0.1740,產品,N,每年節約用水50萬噸
1111005,110,2371,大同,537322.0000,僅母公司,,,N,公司所屬工廠並無特別耗水之製程，但在汰舊換新生產設備時，仍會考量節水因素。
1111005,110,2373,震旦行,38445.5200,僅母公司,0.0117,營業額,N,提升生產品質及減少耗損，減少水資源的使用量。
1111005,110,2374,佳能,5763.0000,110年度,1.6119,營業額,N,使用有省水標章之產品
1111005,110,2375,凱美,2525.2500,汙水處理站,,,N,減量5%
1111005,110,2376,技嘉,259234.5700,技嘉科技營運總部、桃園南平廠、中國東莞廠和寧波廠。,2.1265,百萬營業額,N,"技嘉科技2009年啟動「綠動計畫」設定2030年較2010年減水20%之長期目標
；2016年啟動「減量333」計畫，設定每年用水較前一年減量3%之短期目標。"
1111005,110,2377,微星,89159.0000,母公司,0.4400,營業額,N,"1.增加回收水量,降低對原水依賴2.持續進行節水宣導3.推廣水足跡管理,激勵供應鏈制定節水路線"
1111005,110,2379,瑞昱,50640.0000,僅包含瑞昱新竹營運總部,11.2700,"瑞昱新竹營運總部員工人數(4,492人)",N,人均取水量較前一年度降低1 %
1111005,110,2380,虹光,11323.0000,母公司,0.1700,產品,N,設備汰舊更新時，採購具有省水標章產品；收集空調冷凝水轉為綠帶澆灌用。
1111005,110,2382,廣達,359002.0000,廣達電腦股份有限公司,,,N,減少空氣、水之汙染及廢棄物之產生，降低環境衝擊
1111005,110,2383,台光電,101897.0000,母公司,0.0110,耗水量/總營收(單位:新台幣仟元),N,"為落實水資源管理，因應的節水措施：建置空調用水水質管控，
並評估空調用水水質監控；於生活用水方面，宣導員工節約用水觀念，
採用節水器等措施，以達到節能減碳、降低能源消耗，
藉以降低碳排放強度，善盡環境保護之責任。"
1111005,110,2385,群光,1632816.6400,群光電子(含海外各廠區，不含子公司),1632816.6400,營業額,ISO 50001,"1)每百萬元收入至少減少1.5%以上的用水量。
2)為員工提供安全、清潔、合格的飲用水。
3)無水安全相關事件事故。"
1111005,110,2387,精元,,,,,N,無
1111005,110,2388,威盛,17506.0000,威盛電子台北總公司,,,N,無製程用水，一般生活用水皆設置節水設備。
1111005,110,2390,云辰,,,,,N,無資料
1111005,110,2392,正崴,3365820.0000,合併財務報表之母子公司,,,N,"加強水資源管理策略，資請第三方技術顧問公司編制《水平衡測試報告書》，評估公司的用水、取水情況，編制更標準的水平衡圖， 指導公司合理管理用水，協助企業制定《節水領導工作小組》、《用水獎罰管理制度》、《用水設備、器具、管道定期檢修制度》等。
推行中水回收系統，可將製程污水回收處理再利用，回收過濾後的廢水用於廠區濕制程以及沖洗廁所用水"
1111005,110,2393,億光,341.0000,億光電子台灣地區,,,N,公司為落實水資源有效率之妥善應用，透過定期內部盤點、審視與評估，再根據評估結果對現有設施、設備進行修正與調整，持續改善成效再評估，以達最終水資源永續節約之目的。
