出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人)(每年6/2起公開),員工薪資平均數(仟元/人)(每年6/2起公開),非擔任主管職務之全時員工薪資平均數(仟元/人)(每年7/1起公開),非擔任主管之全時員工薪資中位數(仟元/人)(每年7/1起公開),管理職女性主管佔比,職業災害人數及比率-人數,職業災害人數及比率-比率
1111005,110,1762,中化生,1157,992,962,848,22.00%,0人,0.00%
1111005,110,1773,勝一,1452,1288,1086,932,9.09%,6人,1.47%
1111005,110,1776,展宇,928,787,667,622,4.17%,4人,3.10%
1111005,110,1783,和康生,918,784,609,520,42.86%,0人,0.00%
1111005,110,1786,科妍,1005,844,656,558,27.27%,0人,0.00%
1111005,110,1789,神隆,1047,883,802,721,34.80%,17人,2.52%
1111005,110,1795,美時,1198,908,1030,754,37.20%,2人,0.36%
1111005,110,1802,台玻,811,692,717,680,12.38%,93人,2.26%
1111005,110,1805,寶徠,1192,1042,727,654,20.00%,0人,0.00%
1111005,110,1806,冠軍,788,604,623,563,2.00%,10人,0.12%
1111005,110,1808,潤隆,1409,1196,991,850,20.00%,0人,0.00%
1111005,110,1809,中釉,834,711,679,406,4.76%,0人,0.00%
1111005,110,1810,和成,816,704,671,590,9.26%,3人,0.37%
1111005,110,1817,凱撒衛,913,791,744,623,25.00%,0人,0.00%
1111005,110,1903,士紙,1044,905,579,526,20.96%,0人,0.00%
1111005,110,1904,正隆,1177,1026,1003,941,5.88%,6人,0.02%
1111005,110,1905,華紙,948,800,769,708,10.73%,2人,0.07%
1111005,110,1906,寶隆,1273,1071,714,787,1.00%,0人,0.00%
1111005,110,1907,永豐餘,2736,2539,821,726,18.00%,63人,0.60%
1111005,110,1909,榮成,946,814,733,697,6.17%,5人,0.44%
1111005,110,2002,中鋼,2741,2466,2360,2226,2.11%,3人,0.03%
1111005,110,2006,東和鋼鐵,1306,1151,1180,1139,8.45%,18人,1.03%
1111005,110,2007,燁興,831,619,662,627,5.65%,3人,0.70%
1111005,110,2008,高興昌,662,536,508,477,15.25%,2人,0.98%
1111005,110,2009,第一銅,811,685,695,682,4.00%,4人,1.63%
1111005,110,2010,春源,831,690,710,639,8.48%,22人,1.90%
1111005,110,2012,春雨,859,756,626,571,19.00%,6人,1.05%
1111005,110,2013,中鋼構,1836,1598,1522,1352,2.00%,0人,0.00%
1111005,110,2014,中鴻,1818,1513,1475,1412,3.64%,1人,0.09%
1111005,110,2015,豐興,1347,1168,1108,989,25.00%,23人,2.50%
1111005,110,2017,官田鋼,643,527,602,485,20.50%,13人,4.40%
1111005,110,2020,美亞,1068,754,812,795,26.00%,5人,1.50%
1111005,110,2022,聚亨,736,620,577,517,11.53%,2人,1.28%
1111005,110,2023,燁輝,1121,857,797,777,3.30%,0人,0.00%
1111005,110,2024,志聯,766,615,617,577,29.03%,0人,0.00%
1111005,110,2025,千興,701,518,580,580,25.00%,0人,0.00%
1111005,110,2027,大成鋼,1950,1835,1735,1400,20.98%,1人,0.10%
1111005,110,2028,威致,1086,844,895,851,40.00%,6人,1.63%
1111005,110,2029,盛餘,1388,1178,1212,1149,8.25%,0人,0.00%
1111005,110,2030,彰源,854,733,704,568,0.00%,0人,0.00%
1111005,110,2031,新光鋼,1255,1053,988,813,16.00%,2人,0.63%
1111005,110,2032,新鋼,698,563,583,554,11.50%,5人,2.60%
1111005,110,2033,佳大,689,552,508,493,27.27%,0人,0.00%
1111005,110,2034,允強,1065,898,822,725,20.37%,13人,1.28%
1111005,110,2038,海光,817,712,680,616,6.00%,0人,0.00%
1111005,110,2049,上銀,1040,896,917,839,12.69%,43人,0.89%
1111005,110,2059,川湖,836,705,766,678,26.19%,1人,0.16%
1111005,110,2062,橋椿,722,598,549,486,63.73%,20人,2.00%
1111005,110,2069,運錩,1031,881,832,736,42.85%,3人,0.16%
1111005,110,2101,南港,960,840,683,592,0.55%,13人,1.18%
1111005,110,2102,泰豐,881,540,545,515,9.09%,4人,1.00%
1111005,110,2103,台橡,1583,1057,1196,1078,24.60%,5人,0.30%
1111005,110,2104,國際中橡,2089,1540,729,554,29.03%,2人,0.82%
1111005,110,2105,正新,889,771,718,650,0.40%,11人,0.20%
1111005,110,2106,建大,771,661,650,598,13.08%,10人,0.50%
1111005,110,2107,厚生,851,736,628,572,8.93%,0人,0.00%
1111005,110,2108,南帝,2820,2575,1998,1806,0.60%,0人,0.00%
1111005,110,2109,華豐,696,601,570,511,0.00%,0人,0.00%
1111005,110,2114,鑫永銓,862,753,544,521,25.00%,1人,0.88%
1111005,110,2115,六暉-KY,,,,,55.00%,0人,0.00%
1111005,110,2201,裕隆,1151,936,862,804,16.20%,0人,0.00%
1111005,110,2204,中華,1299,1120,1110,1007,13.53%,3人,0.15%
1111005,110,2206,三陽工業,1091,922,912,898,1.00%,8人,0.36%
1111005,110,2207,和泰車,3260,2894,2425,1936,7.00%,0人,0.00%
1111005,110,2208,台船,1179,949,956,970,5.00%,13人,0.42%
1111005,110,2211,長榮鋼,1124,943,922,892,17.00%,3人,0.54%
1111005,110,2227,裕日車,1572,1293,1183,1126,12.80%,0人,0.00%
1111005,110,2228,劍麟,828,712,605,518,10.53%,0人,0.00%
1111005,110,2231,為升,838,737,642,574,3.92%,10人,2.33%
1111005,110,2233,宇隆,903,770,680,601,24.00%,6人,1.60%
1111005,110,2236,百達-KY,,,,,20.00%,2人,0.29%
1111005,110,2239,英利-KY,,,,,0.00%,0人,0.00%
1111005,110,2241,艾姆勒,812,642,650,592,19.35%,8人,1.29%
1111005,110,2243,宏旭-KY,,,,,10.63%,0人,0.00%
