出表日期,報告年度,公司代號,公司名稱,董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率
1111005,110,6116,彩晶,7,3,4席,57.00%,98.00%,100.00%
1111005,110,6117,迎廣,7,3,3席,42.86%,100.00%,0.00%
1111005,110,6120,達運,7,3,1席,14.29%,100.00%,100.00%
1111005,110,6128,上福,9,2,2席,28.57%,96.43%,100.00%
1111005,110,6133,金橋,7,2,1席,14.28%,85.71%,14.28%
1111005,110,6136,富爾特,7,3,1席,14.00%,92.00%,100.00%
1111005,110,6139,亞翔,8,3,1席,12.50%,89.29%,12.50%
1111005,110,6141,柏承,7,3,1席,14.29%,100.00%,100.00%
1111005,110,6142,友勁,7,3,0席,0.00%,100.00%,85.00%
1111005,110,6152,百一,7,7,0席,0.00%,100.00%,100.00%
1111005,110,6153,嘉聯益,8,3,1席,12.50%,98.36%,100.00%
1111005,110,6155,鈞寶,11,3,1席,9.09%,92.42%,100.00%
1111005,110,6164,華興,9,3,1席,11.11%,88.88%,100.00%
1111005,110,6165,浪凡,7,3,0席,42.86%,96.83%,35.71%
1111005,110,6166,凌華,8,3,2席,25.00%,97.00%,100.00%
1111005,110,6168,宏齊,7,3,0席,0.00%,97.62%,100.00%
1111005,110,6176,瑞儀,10,4,1席,10.00%,99.04%,100.00%
1111005,110,6177,達麗,7,3,1席,14.29%,93.33%,100.00%
1111005,110,6183,關貿,15,3,3席,20.00%,94.00%,100.00%
1111005,110,6184,大豐電,7,2,1席,14.29%,100.00%,20.00%
1111005,110,6189,豐藝,7,3,2席,28.57%,97.96%,100.00%
1111005,110,6191,精成科,9,3,0席,0.00%,98.61%,100.00%
1111005,110,6192,巨路,7,2,1席,14.30%,92.86%,14.30%
1111005,110,6196,帆宣,9,3,2席,22.22%,100.00%,100.00%
1111005,110,6197,佳必琪,7,3,2席,28.57%,100.00%,57.14%
1111005,110,6201,亞弘電,7,3,1席,14.29%,100.00%,100.00%
1111005,110,6202,盛群,9,3,0席,0.00%,97.00%,100.00%
1111005,110,6205,詮欣,7,2,2席,28.57%,100.00%,100.00%
1111005,110,6206,飛捷,7,3,1席,14.00%,92.86%,100.00%
1111005,110,6209,今國光,8,2,1席,12.50%,87.00%,37.50%
1111005,110,6213,聯茂,9,4,3席,33.00%,98.41%,100.00%
1111005,110,6214,精誠,13,3,2席,15.38%,98.90%,100.00%
1111005,110,6215,和椿,7,3,0席,0.00%,94.29%,100.00%
1111005,110,6216,居易,9,3,1席,11.11%,85.94%,100.00%
1111005,110,6224,聚鼎,10,3,0席,0.00%,85.56%,33.33%
1111005,110,6225,天瀚,5,2,4席,80.00%,87.00%,0.00%
1111005,110,6226,光鼎,9,3,1席,11.00%,96.75%,0.00%
1111005,110,6230,尼得科超眾,7,2,1席,14.29%,95.27%,81.81%
1111005,110,6235,華孚,9,3,1席,11.11%,97.26%,100.00%
1111005,110,6239,力成,11,4,1席,9.09%,96.97%,54.55%
1111005,110,6243,迅杰,9,3,0席,0.00%,93.80%,100.00%
1111005,110,6257,矽格,9,3,0席,0.00%,100.00%,100.00%
1111005,110,6269,台郡,11,3,2席,18.18%,98.00%,36.36%
1111005,110,6271,同欣電,9,3,3席,33.33%,97.78%,66.67%
1111005,110,6277,宏正,10,3,1席,10.00%,95.38%,100.00%
1111005,110,6278,台表科,10,3,4席,40.00%,88.75%,60.00%
1111005,110,6281,全國電,11,3,0席,0.00%,96.97%,100.00%
1111005,110,6282,康舒,11,3,0席,0.00%,97.38%,100.00%
1111005,110,6283,淳安,9,3,4席,44.44%,92.59%,100.00%
1111005,110,6285,啟碁,9,4,1席,11.11%,96.30%,100.00%
1111005,110,6288,聯嘉,9,3,2席,22.20%,100.00%,100.00%
1111005,110,6405,悅城,7,3,0席,0.00%,98.00%,100.00%
1111005,110,6409,旭隼,8,4,3席,37.50%,87.50%,100.00%
1111005,110,6412,群電,7,3,2席,29.00%,97.00%,100.00%
1111005,110,6414,樺漢,7,3,1席,14.28%,100.00%,100.00%
1111005,110,6415,矽力*-KY,7,3,0席,0.00%,91.00%,100.00%
1111005,110,6416,瑞祺電通,7,3,1席,14.00%,100.00%,100.00%
1111005,110,6431,光麗-KY,10,3,1席,10.00%,100.00%,100.00%
1111005,110,6438,迅得,7,3,0席,0.00%,100.00%,100.00%
1111005,110,6442,光聖,7,3,2席,28.57%,100.00%,100.00%
1111005,110,6443,元晶,8,3,0席,0.00%,96.36%,100.00%
1111005,110,6449,鈺邦,7,3,0席,0.00%,96.00%,57.00%
1111005,110,6451,訊芯-KY,7,3,0席,0.00%,91.07%,71.43%
1111005,110,6456,GIS-KY,7,3,0席,0.00%,97.00%,100.00%
1111005,110,6464,台數科,15,3,2席,13.33%,66.67%,100.00%
1111005,110,6477,安集,9,3,1席,11.00%,98.00%,100.00%
1111005,110,6491,晶碩,9,3,1席,11.11%,94.00%,100.00%
1111005,110,6504,南六,9,3,1席,11.11%,94.00%,100.00%
1111005,110,6505,台塑化,15,3,1席,6.70%,94.00%,100.00%
1111005,110,6515,穎崴,9,4,0席,0.00%,97.44%,100.00%
1111005,110,6525,捷敏-KY,9,4,3席,33.33%,96.30%,100.00%
1111005,110,6531,愛普*,6,3,1席,17.00%,96.00%,83.00%
1111005,110,6533,晶心科,7,3,0席,0.00%,100.00%,100.00%
1111005,110,6541,泰福-KY,9,3,1席,11.11%,95.23%,100.00%
1111005,110,6550,北極星藥業-KY,7,3,0席,0.00%,93.33%,85.71%
1111005,110,6552,易華電,7,3,0席,0.00%,98.63%,100.00%
1111005,110,6558,興能高,8,2,3席,37.50%,92.86%,100.00%
1111005,110,6573,虹揚-KY,9,4,4席,44.00%,94.00%,100.00%
1111005,110,6579,研揚,11,3,0席,0.00%,97.00%,100.00%
1111005,110,6581,鋼聯,11,3,1席,9.09%,90.91%,90.91%
1111005,110,6582,申豐,7,3,1席,14.00%,100.00%,100.00%
